categoria,tipo,bairro,cidade,endereco,valor,dia/mes,metragem,quartos,banheiros,vagas,link,timestamp
aluguel,apartamento,Jurerê Internacional,Florianópolis,Avenida das Lagostas,15000,mês,135,3,5,2,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-mobiliado-jurere-internacional-florianopolis-135m2-id-2490750115/,2024-12-20 20:09:54
aluguel,apartamento,Jurerê Internacional,Florianópolis,Avenida das Raias,15000,mês,131,3,4,3,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-mobiliado-jurere-internacional-florianopolis-131m2-id-2543265181/,2024-12-20 20:09:54
aluguel,apartamento,Jurerê Internacional,Florianópolis,Avenida dos Salmões,2200,dia,180,3,3,1,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-3-quartos-mobiliado-jurere-internacional-florianopolis-180m2-id-2657451165/,2024-12-20 20:09:54
aluguel,apartamento,Jurerê Internacional,Florianópolis,Avenida dos Búzios,16000,mês,107,2,2,0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-mobiliado-jurere-internacional-florianopolis-107m2-id-2720899861/,2024-12-20 20:09:54
aluguel,apartamento,Jurerê Internacional,Florianópolis,Avenida dos Salmões,8000,mês,88,2,3,2,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-mobiliado-jurere-internacional-florianopolis-88m2-id-2720112516/,2024-12-20 20:09:54
aluguel,apartamento,Jurerê Internacional,Florianópolis,Rua das Piraúnas,25000,mês,230,4,5,3,https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-mobiliado-jurere-internacional-florianopolis-230m2-id-2557237462/,2024-12-20 20:09:54
aluguel,apartamento,Jurerê Internacional,Florianópolis,,12000,mês,234,3,2,2,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-3-quartos-com-piscina-jurere-internacional-florianopolis-234m2-id-2729524462/,2024-12-20 20:09:54
aluguel,apartamento,Jurerê Internacional,Florianópolis,Avenida dos Búzios,25000,mês,197,3,4,2,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-mobiliado-jurere-internacional-florianopolis-197m2-id-2554562202/,2024-12-20 20:09:54
aluguel,apartamento,Jurerê Internacional,Florianópolis,Rua das Castanhetas,13200,mês,91,2,3,1,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-mobiliado-jurere-internacional-florianopolis-91m2-id-2686090006/,2024-12-20 20:09:54
aluguel,apartamento,Jurerê Internacional,Florianópolis,Avenida das Raias,13500,mês,130,3,4,3,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-mobiliado-jurere-internacional-florianopolis-130m2-id-2661216566/,2024-12-20 20:09:54
