titulo,valor,metragem,quartos,banheiros,vagas,endereco,link,categoria,tipo,timestamp
"Jurerê Internacional, Florianópolis",R$ 4.300/dia,596 m²,6,8,3,Passeio dos Namorados,https://www.zapimoveis.com.br/imovel/aluguel-casa-6-quartos-mobiliado-jurere-internacional-florianopolis-596m2-id-2514490094/,aluguel,casa,2024-12-26 01:40:10
"Ingleses do Rio Vermelho, Florianópolis",R$ 4.800/mês,110 m²,3,2,1,Servidão do Gerivá,https://www.zapimoveis.com.br/imovel/aluguel-casa-3-quartos-ingleses-do-rio-vermelho-florianopolis-110m2-id-2763788917/,aluguel,casa,2024-12-26 01:40:10
"Cachoeira do Bom Jesus, Florianópolis",R$ 1.800/dia,200 m²,4,3,4,Rua Jardim Giselle,https://www.zapimoveis.com.br/imovel/aluguel-casa-4-quartos-com-churrasqueira-cachoeira-do-bom-jesus-florianopolis-200m2-id-2668243938/,aluguel,casa,2024-12-26 01:40:10
"Jurerê, Florianópolis",R$ 3.600/dia,300 m²,4,5,4,Rua Deputado Paulo Preis,https://www.zapimoveis.com.br/imovel/aluguel-casa-4-quartos-mobiliado-jurere-florianopolis-300m2-id-2696361591/,aluguel,casa,2024-12-26 01:40:10
"Morro das Pedras, Florianópolis",R$ 1.500/dia,234 m²,4,3,2,Rua Sagrado Coração de Jesus,https://www.zapimoveis.com.br/imovel/aluguel-casa-4-quartos-mobiliado-morro-das-pedras-florianopolis-234m2-id-2749870205/,aluguel,casa,2024-12-26 01:40:10
"Morro das Pedras, Florianópolis",R$ 13.000/mês,420 m²,3,5,2,Rua Manoel Pedro Vieira,https://www.zapimoveis.com.br/imovel/aluguel-casa-de-condominio-3-quartos-com-piscina-morro-das-pedras-florianopolis-420m2-id-2751440536/,aluguel,casa,2024-12-26 01:40:10
"Armação do Pântano do Sul, Florianópolis",R$ 3.800/mês,88 m²,2,1,2,Rua Arnoldo da Costa Sabino,https://www.zapimoveis.com.br/imovel/aluguel-casa-2-quartos-armacao-do-pantano-do-sul-florianopolis-88m2-id-2739623459/,aluguel,casa,2024-12-26 01:40:10
"Ribeirão da Ilha, Florianópolis",R$ 2.600/mês,55 m²,2,1,,Rodovia Baldicero Filomeno,https://www.zapimoveis.com.br/imovel/aluguel-casa-2-quartos-ribeirao-da-ilha-florianopolis-55m2-id-2740354138/,aluguel,casa,2024-12-26 01:40:10
"Rio Tavares, Florianópolis",R$ 6.500/mês,127 m²,3,2,2,Servidão Venâncio Bernardino das Chagas,https://www.zapimoveis.com.br/imovel/aluguel-casa-3-quartos-rio-tavares-florianopolis-127m2-id-2755993146/,aluguel,casa,2024-12-26 01:40:10
"Campeche, Florianópolis",R$ 6.200/mês,150 m²,3,3,1,Rua José Elias Lopes,https://www.zapimoveis.com.br/imovel/aluguel-casa-3-quartos-campeche-florianopolis-150m2-id-2761007140/,aluguel,casa,2024-12-26 01:40:10
"São João do Rio Vermelho, Florianópolis",R$ 2.200/mês,80 m²,2,1,3,Servidão dos Vieiras,https://www.zapimoveis.com.br/imovel/aluguel-casa-2-quartos-sao-joao-do-rio-vermelho-florianopolis-80m2-id-2752244394/,aluguel,casa,2024-12-26 01:40:10
"Jurerê Internacional, Florianópolis",R$ 4.000/dia,450 m²,4,5,4,Rua dos Bagres,https://www.zapimoveis.com.br/imovel/aluguel-casa-4-quartos-mobiliado-jurere-internacional-florianopolis-450m2-id-1041324656/,aluguel,casa,2024-12-26 01:40:10
"Cachoeira do Bom Jesus, Florianópolis",R$ 1.200/dia,190 m²,4,3,2,Avenida Luiz Boiteux Piazza,https://www.zapimoveis.com.br/imovel/aluguel-casa-4-quartos-mobiliado-cachoeira-do-bom-jesus-florianopolis-190m2-id-1039636297/,aluguel,casa,2024-12-26 01:40:10
"São João do Rio Vermelho, Florianópolis",R$ 6.500/mês,375 m²,3,3,2,Avenida Red Park,https://www.zapimoveis.com.br/imovel/aluguel-casa-3-quartos-com-piscina-sao-joao-do-rio-vermelho-florianopolis-375m2-id-2764999545/,aluguel,casa,2024-12-26 01:40:10
"Costeira do Pirajubaé, Florianópolis",R$ 4.200/mês,90 m²,2,1,,Servidão Cachoeira,https://www.zapimoveis.com.br/imovel/aluguel-casa-2-quartos-costeira-do-pirajubae-florianopolis-90m2-id-2765454228/,aluguel,casa,2024-12-26 01:40:10
"Ribeirão da Ilha, Florianópolis",R$ 4.200/mês,110 m²,3,2,3,Servidão Maria Ramos Ouriques,https://www.zapimoveis.com.br/imovel/aluguel-casa-3-quartos-com-churrasqueira-ribeirao-da-ilha-florianopolis-110m2-id-2765027337/,aluguel,casa,2024-12-26 01:40:10
"Jardim Atlântico, Florianópolis",R$ 4.500/mês,200 m²,3,3,3,Avenida Atlântica,https://www.zapimoveis.com.br/imovel/aluguel-casa-3-quartos-com-churrasqueira-jardim-atlantico-florianopolis-200m2-id-2765679923/,aluguel,casa,2024-12-26 01:40:10
"Jurerê, Florianópolis",R$ 3.500/dia,290 m²,3,5,4,Rua das Pirabas,https://www.zapimoveis.com.br/imovel/aluguel-casa-3-quartos-mobiliado-jurere-florianopolis-290m2-id-2657449263/,aluguel,casa,2024-12-26 01:40:10
"Jurerê Internacional, Florianópolis",R$ 1.800/dia,250 m²,5,5,2,Rua das Palombetas,https://www.zapimoveis.com.br/imovel/aluguel-casa-5-quartos-mobiliado-jurere-internacional-florianopolis-250m2-id-2563830214/,aluguel,casa,2024-12-26 01:40:10
"Tapera da Base, Florianópolis",R$ 2.400/mês,99 m²,2,1,1,Servidão do Luar,https://www.zapimoveis.com.br/imovel/aluguel-casa-2-quartos-com-varanda-tapera-da-base-florianopolis-99m2-id-2761331954/,aluguel,casa,2024-12-26 01:40:10
"Jurerê, Florianópolis",R$ 2.200/dia,100 m²,4,3,4,Rua Accacio Melo,https://www.zapimoveis.com.br/imovel/aluguel-casa-4-quartos-mobiliado-jurere-florianopolis-100m2-id-2593322782/,aluguel,casa,2024-12-26 01:40:10
"Rio Tavares, Florianópolis",R$ 6.500/mês,170 - 181 m²,2,1 - 8,0 - 2,Servidão Aparício Sinfronio Pereira,,aluguel,casa,2024-12-26 01:40:10
"Rio Tavares, Florianópolis",R$ 6.500/mês,170 - 181 m²,2,1 - 8,0 - 2,Servidão Aparício Sinfronio Pereira,,aluguel,casa,2024-12-26 01:40:10
"Cachoeira do Bom Jesus, Florianópolis",R$ 2.700/dia,200 m²,4,4,4,Rua Olegário Pereira,,aluguel,casa,2024-12-26 01:40:10
"Cachoeira do Bom Jesus, Florianópolis",R$ 2.700/dia,200 m²,4,4,4,Rua Olegário Pereira,,aluguel,casa,2024-12-26 01:40:10
"João Paulo, Florianópolis",R$ 2.750/mês,70 m²,1,1,1,Rua Osvaldo Calixto de Lima,https://www.zapimoveis.com.br/imovel/aluguel-casa-1-quarto-com-closet-joao-paulo-florianopolis-70m2-id-2753280489/,aluguel,casa,2024-12-26 01:40:10
"Ingleses do Rio Vermelho, Florianópolis",R$ 2.450/mês,82 m²,2,1,1,,https://www.zapimoveis.com.br/imovel/aluguel-casa-2-quartos-ingleses-do-rio-vermelho-florianopolis-82m2-id-2762183315/,aluguel,casa,2024-12-26 01:40:10
"Morro das Pedras, Florianópolis",R$ 3.400/mês,70 m²,2,1,1,Rua Manoel Pedro Vieira,https://www.zapimoveis.com.br/imovel/aluguel-sobrados-2-quartos-com-porcelanato-morro-das-pedras-florianopolis-70m2-id-2765270262/,aluguel,casa,2024-12-26 01:40:10
"Itacorubi, Florianópolis",R$ 6.200/mês,127 m²,3,1,1,Avenida Buriti,https://www.zapimoveis.com.br/imovel/aluguel-casa-3-quartos-itacorubi-florianopolis-127m2-id-2764134614/,aluguel,casa,2024-12-26 01:40:10
"Cachoeira do Bom Jesus, Florianópolis",R$ 2.000/dia,150 m²,3,3,2,Avenida Luiz Boiteux Piazza,https://www.zapimoveis.com.br/imovel/aluguel-casa-3-quartos-com-piscina-cachoeira-do-bom-jesus-florianopolis-150m2-id-2741085687/,aluguel,casa,2024-12-26 01:40:10
"Jurerê, Florianópolis",R$ 3.000/dia,340 m²,4,4,4,Rua Deputado Paulo Preis,https://www.zapimoveis.com.br/imovel/aluguel-casa-4-quartos-mobiliado-jurere-florianopolis-340m2-id-2480845374/,aluguel,casa,2024-12-26 01:40:10
"Jurerê Internacional, Florianópolis",R$ 17.000/mês,252 - 300 m²,4 - 5,3 - 5,1 - 4,Rua dos Amborés,,aluguel,casa,2024-12-26 01:40:10
"Jurerê Internacional, Florianópolis",R$ 17.000/mês,252 - 300 m²,4 - 5,3 - 5,1 - 4,Rua dos Amborés,,aluguel,casa,2024-12-26 01:40:10
"Jurerê, Florianópolis",R$ 450/dia,80 m²,2,3,2,Rua das Moreias,https://www.zapimoveis.com.br/imovel/aluguel-casa-2-quartos-mobiliado-jurere-florianopolis-80m2-id-2657581553/,aluguel,casa,2024-12-26 01:40:10
